r1,r2,r3,r4,q1,q2,q3,q4,q5,q6
9999.0,9999.0,0.26,9999.0,-0.524729,-0.414567,0.848874,-1.92067,-0.425858,1.71819
9999.0,9999.0,0.26,9999.0,-0.524573,-0.414164,0.849011,-1.91317,-0.434142,1.71031
9999.0,9999.0,0.26,9999.0,-0.524573,-0.414164,0.849011,-1.91317,-0.434142,1.71031
9999.0,9999.0,0.26,9999.0,-0.524418,-0.413762,0.849146,-1.90559,-0.442538,1.70226
9999.0,9999.0,0.26,9999.0,-0.524263,-0.413362,0.849279,-1.89792,-0.451043,1.69404
9999.0,9999.0,0.26,9999.0,-0.524263,-0.413362,0.849279,-1.89792,-0.451043,1.69404
9999.0,9999.0,0.25,9999.0,-0.524109,-0.412964,0.84941,-1.89017,-0.459652,1.68565
9999.0,9999.0,0.25,9999.0,-0.523955,-0.412567,0.849539,-1.88234,-0.468361,1.67709
9999.0,9999.0,0.25,9999.0,-0.523955,-0.412567,0.849539,-1.88234,-0.468361,1.67709
9999.0,9999.0,0.25,9999.0,-0.523801,-0.412172,0.849666,-1.87443,-0.477168,1.66838
9999.0,9999.0,0.25,9999.0,-0.523801,-0.412172,0.849666,-1.87443,-0.477168,1.66838
9999.0,9999.0,0.25,9999.0,-0.523648,-0.411778,0.84979,-1.86644,-0.486067,1.65949
9999.0,9999.0,0.28,9999.0,-0.523495,-0.411386,0.849913,-1.85837,-0.495054,1.65045
9999.0,9999.0,0.28,9999.0,-0.523495,-0.411386,0.849913,-1.85837,-0.495054,1.65045
9999.0,9999.0,0.28,9999.0,-0.523342,-0.410996,0.850034,-1.85022,-0.504127,1.64124
9999.0,9999.0,0.28,9999.0,-0.52319,-0.410607,0.850152,-1.842,-0.513281,1.63187
9999.0,9999.0,0.28,9999.0,-0.523039,-0.410221,0.850269,-1.8337,-0.522512,1.62234
9999.0,9999.0,0.28,9999.0,-0.523039,-0.410221,0.850269,-1.8337,-0.522512,1.62234
9999.0,9999.0,0.28,9999.0,-0.522887,-0.409836,0.850383,-1.82532,-0.531816,1.61266
9999.0,9999.0,0.29,9999.0,-0.522887,-0.409836,0.850383,-1.82532,-0.531816,1.61266
9999.0,9999.0,0.29,9999.0,-0.522737,-0.409453,0.850496,-1.81686,-0.541191,1.60282
